# Created by Octave 8.2.0, Fri May 19 19:28:56 2023 GMT <unknown@DESKTOP-80EQF7L>
# name: Y_t
# type: matrix
# rows: 9
# columns: 6
 0 0.5 1 1.5 2 2.5
 1 0.60653065971263342 0.36787944117144233 0.22313016014842982 0.1353352832366127 0.0820849986238988
 1 0.5 0.30326532985631671 0.18393972058572117 0.11156508007421491 0.067667641618306337
 1 0.6516326649281583 0.41778619275693973 0.26467563641557734 0.16617163901694185 0.10360706916444562
 1 0.63940039153570249 0.40425080721020029 0.25340794174233461 0.15780840255928241 0.097769992751420204
 0 0.5 1 1.5 2 2.5
 0 0.5 1 1.5 2 2.5
 1 0.60664103923730939 0.36798704619561839 0.2232104010235226 0.13538946762662324 0.082119894785121578
 1 0.60653021759819947 0.36787993672960462 0.2231308575505789 0.13533585222113034 0.082085499493963404


